date,close,volume,open,high,low
12/23/10,1256.77,0,1257.53,1258.59,1254.05
12/22/10,1258.84,0,1254.94,1259.39,1254.94
12/21/10,1254.6,0,1249.43,1254.61,1249.43
12/20/10,1247.08,0,1245.76,1250.2,1241.51
12/17/10,1243.91,0,1243.63,1245.81,1239.87
12/16/10,1242.87,0,1236.34,1243.75,1232.85
12/15/10,1235.23,0,1241.58,1244.25,1234.01
12/14/10,1241.59,0,1241.84,1246.59,1238.17
12/13/10,1240.46,0,1242.52,1246.73,1240.34
12/10/10,1240.4,0,1233.85,1240.4,1232.58
12/9/10,1233,0,1230.14,1234.71,1226.85
12/8/10,1228.28,0,1225.02,1228.93,1219.5
12/7/10,1223.75,0,1227.25,1235.05,1223.25
12/6/10,1223.12,0,1223.87,1225.8,1220.67
12/3/10,1224.71,0,1219.93,1225.57,1216.82
12/2/10,1221.53,0,1206.81,1221.89,1206.81
12/1/10,1206.07,0,1186.6,1207.61,1186.6
11/30/10,1180.55,0,1182.96,1187.4,1174.14
11/29/10,1187.76,0,1189.08,1190.34,1173.64
11/26/10,1189.4,0,1194.16,1194.16,1186.93
11/24/10,1198.35,0,1183.7,1198.62,1183.7
11/23/10,1180.73,0,1192.51,1192.51,1176.91
11/22/10,1197.84,0,1198.07,1198.94,1184.58
11/19/10,1199.73,0,1196.12,1199.97,1189.44
11/18/10,1196.69,0,1183.75,1200.29,1183.75
11/17/10,1178.59,0,1178.33,1183.56,1175.82
11/16/10,1178.34,0,1194.79,1194.79,1173
11/15/10,1197.75,0,1200.44,1207.43,1197.15
11/12/10,1199.21,0,1209.07,1210.5,1194.08
11/11/10,1213.54,0,1213.04,1215.45,1204.49
11/10/10,1218.71,0,1213.14,1218.75,1204.33
11/9/10,1213.4,0,1223.59,1226.84,1208.94
11/8/10,1223.25,0,1223.24,1224.57,1217.55
11/5/10,1225.85,0,1221.2,1227.08,1220.29
11/4/10,1221.06,0,1198.34,1221.25,1198.34
11/3/10,1197.96,0,1193.79,1198.3,1183.56
11/2/10,1193.57,0,1187.86,1195.88,1187.86
11/1/10,1184.38,0,1185.71,1195.81,1177.65
10/29/10,1183.26,0,1183.87,1185.46,1179.7
10/28/10,1183.78,0,1184.47,1189.53,1177.1
10/27/10,1182.45,0,1183.84,1183.84,1171.7
10/26/10,1185.64,0,1184.88,1187.11,1177.72
10/25/10,1185.62,0,1184.74,1196.14,1184.74
10/22/10,1183.08,0,1180.52,1183.93,1178.99
10/21/10,1180.26,0,1179.82,1189.43,1171.17
10/20/10,1178.17,0,1166.74,1182.94,1166.74
10/19/10,1165.9,0,1178.64,1178.64,1159.71
10/18/10,1184.71,0,1176.83,1185.53,1174.55
10/15/10,1176.19,0,1177.47,1181.2,1167.12
10/14/10,1173.81,0,1177.82,1178.89,1166.71
10/13/10,1178.1,0,1171.32,1184.38,1171.32
10/12/10,1169.77,0,1164.28,1172.58,1155.71
10/11/10,1165.32,0,1165.32,1168.68,1162.02
10/8/10,1165.15,0,1158.36,1167.73,1155.58
10/7/10,1158.06,0,1161.57,1163.87,1151.41
10/6/10,1159.97,0,1159.81,1162.33,1154.85
10/5/10,1160.75,0,1140.68,1162.76,1140.68
10/4/10,1137.03,0,1144.96,1148.16,1131.87
10/1/10,1146.24,0,1143.49,1150.3,1139.42
9/30/10,1141.2,0,1145.97,1157.16,1136.08
